id,EDANid,imageURL,thumbnail
01411,edanmdm:npg_S_NPG.2002.184.936,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_936,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_936/full/250,/0/default.jpg"
01412,edanmdm:npg_S_NPG.2002.184.935,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_935,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_935/full/250,/0/default.jpg"
01413,edanmdm:npg_S_NPG.2002.184.934,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_934,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_934/full/250,/0/default.jpg"
01414,edanmdm:npg_S_NPG.2002.184.933,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_933,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_933/full/250,/0/default.jpg"
01415,edanmdm:npg_S_NPG.2002.184.932,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_932,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_932/full/250,/0/default.jpg"
01416,edanmdm:npg_S_NPG.2002.184.931,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_931,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_931/full/250,/0/default.jpg"
01417,edanmdm:npg_S_NPG.2002.184.930,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_930,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_930/full/250,/0/default.jpg"
01418,edanmdm:npg_S_NPG.2002.184.93,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_93,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_93/full/250,/0/default.jpg"
01419,edanmdm:npg_S_NPG.2002.184.929,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_929,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_929/full/250,/0/default.jpg"
01420,edanmdm:npg_S_NPG.2002.184.928,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_928,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_928/full/250,/0/default.jpg"
01421,edanmdm:npg_S_NPG.2002.184.927,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_927,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_927/full/250,/0/default.jpg"
01422,edanmdm:npg_S_NPG.2002.184.926,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_926,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_926/full/250,/0/default.jpg"
01423,edanmdm:npg_S_NPG.2002.184.925,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_925,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_925/full/250,/0/default.jpg"
01424,edanmdm:npg_S_NPG.2002.184.924,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_924,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_924/full/250,/0/default.jpg"
01425,edanmdm:npg_S_NPG.2002.184.923,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_923,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_923/full/250,/0/default.jpg"
01426,edanmdm:npg_S_NPG.2002.184.922,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_922,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_922/full/250,/0/default.jpg"
01427,edanmdm:npg_S_NPG.2002.184.921,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_921,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_921/full/250,/0/default.jpg"
01428,edanmdm:npg_S_NPG.2002.184.920,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_920,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_920/full/250,/0/default.jpg"
